goodreads_book_id,authors,original_publication_year,title,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
10818853,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,75437,165455,152293,252185,294976,571909
865,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,3.82,1299566,55781,74846,123614,289143,412180,504212
3636,Lois Lowry,1993,"The Giver (The Giver, #1)",4.12,1296825,54084,26497,59652,225326,448691,585279
100915,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,15186,19309,55542,262038,513366,734629
14050,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95,746287,43382,44339,85429,257805,427210,493884
13496,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,46205,19988,28983,114092,404583,874574
19501,Elizabeth Gilbert,2006,"Eat, Pray, Love",3.51,1181647,49714,100373,149549,310212,332191,314272
28187,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,46006,18303,48294,219638,435514,689365
1934,Louisa May Alcott,1868,"Little Women (Little Women, #1)",4.04,1257121,17090,31645,70011,250794,426280,535563
10210,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,1198557,31212,35132,64274,212294,400214,574221
15931,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",4.06,1053403,17279,41395,63432,176469,298259,497194
4214,Yann Martel,2001,Life of Pi,3.88,1003228,42962,39768,74331,218702,384164,360466
43641,Sara Gruen,2006,Water for Elephants,4.07,1068146,55732,16705,49832,200154,417328,424820
19063,Markus Zusak,2005,The Book Thief,4.36,1159741,93611,17892,35360,135272,377218,722056
4381,Ray Bradbury,1953,Fahrenheit 451,3.97,570498,30694,28366,64289,238242,426292,419051
49041,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,1149630,44020,102837,160660,294207,290612,350684
30119,Shel Silverstein,1974,Where the Sidewalk Ends,4.29,1016888,9234,16590,30792,139024,293222,544153
256683,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,51589,34122,65349,203466,356048,582814
428263,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",3.69,1134511,35216,83094,124293,260763,309358,399134
113436,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,18280,50563,88536,240157,337943,408032
11,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,20345,21764,41962,145173,299579,498001
5129,Aldous Huxley,1932,Brave New World,3.97,1022601,20095,26367,60328,219895,389379,383166
1162543,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",3.7,1070245,44550,100994,114893,213402,267706,410714
37435,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,916189,26522,17500,45455,185631,347540,341267
2956,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,953758,12448,28467,76630,255722,344356,296316
24178,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,1064521,13044,18450,41124,191415,346090,487763
1618,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,867553,35796,21049,58117,218218,355925,262481
22557272,Paula Hawkins,2015,The Girl on the Train,3.88,1008778,93600,27773,73897,273817,488447,362551
119322,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",3.94,953970,14915,38382,64591,198764,313147,380030
6185,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,899195,26157,46469,84084,215320,309180,346082
10917,Jodi Picoult,2004,My Sister's Keeper,4.06,863879,30719,17547,42763,162573,314003,350994
4981,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,4.06,846488,19646,24964,45518,152442,300948,367890
18405,Margaret Mitchell,1936,Gone with the Wind,4.28,873981,16050,19996,33136,116160,234290,493721
128029,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,818742,43645,6509,18015,99030,295817,446694
22628,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,888806,47116,14286,38658,143440,297501,461020
11735983,Veronica Roth,2012,"Insurgent (Divergent, #2)",4.07,836362,55873,10641,44620,182131,339977,369969
375802,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",4.3,813439,38054,15330,27612,103439,264207,462829
18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,3.75,808589,19993,29366,74142,231022,300495,248538
11588,Stephen King,1977,The Shining (The Shining #1),4.17,791850,14936,18487,28981,123862,277393,382158
1656001,Stephenie Meyer,2008,"The Host (The Host, #1)",3.84,749780,39778,44215,62501,154906,227180,288758
99561,John Green,2005,Looking for Alaska,4.09,783470,47128,16940,44232,147324,262932,359857
227443,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,8157,28973,59309,198555,254836,212825
14935,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,738894,11526,18430,34699,141987,272512,311754
38709,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",3.93,747445,15832,15495,43786,176946,269153,259257
5139,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,8024,24231,58323,192366,226675,178250
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,3.73,670326,8101,29703,65629,183082,224120,208223
157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,4.28,738757,24537,15039,32866,114714,228440,468227
7445,Jeannette Walls,2005,The Glass Castle,4.24,621099,40777,7901,18922,85191,227750,298102
1845,Jon Krakauer,1996,Into the Wild,3.94,647684,17299,19229,35567,135199,248287,227095
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,637412,13093,28904,55555,153305,216378,223571
7677,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",3.96,447833,8143,15736,34222,138327,231583,230615
370493,Shel Silverstein,1964,The Giving Tree,4.38,702332,14368,15345,20408,76071,167542,428921
32542,John Grisham,1989,A Time to Kill,4.03,597775,4239,12106,25938,122675,218617,229488
1617,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),4.3,691231,22001,7761,18539,90575,230227,360777
6442769,John Green,2008,Paper Towns,3.88,461311,42717,14105,47183,154479,223895,215609
21787,William Goldman,1973,The Princess Bride ,4.25,628637,15630,12883,21641,89236,196047,338235
231804,S.E. Hinton,1967,The Outsiders,4.06,659248,22662,10178,34346,134244,227250,274419
6186357,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",4.02,719925,48942,15291,43370,150488,266698,302109
1202,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,13668,14586,26538,115789,216316,176072
2998,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,13054,8005,25207,129646,243821,285570
320,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,4.04,490565,21671,27340,37646,87675,155809,267197
5297,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,590014,19647,9825,30735,129420,246892,257679
13536860,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,25287,39079,55691,109963,140304,265079
17245,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,618973,17263,11756,36719,151396,246043,243825
5060378,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,31423,4623,15781,91021,258236,279592
11857408,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,28052,37245,58935,114203,150906,262051
7244,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,546502,19941,21699,33702,92590,175725,239071
4137,David Sedaris,2000,Me Talk Pretty One Day,3.97,495736,14982,19718,29034,93427,178021,194076
19543,Maurice Sendak,1963,Where the Wild Things Are,4.22,620618,9102,15392,27532,93700,167043,332394
7126,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,4.21,555822,15925,10381,22482,89980,183142,295235
6288,Cormac McCarthy,2006,The Road,3.95,504793,38980,20086,36561,100989,190823,207328
18710190,Veronica Roth,2013,"Allegiant (Divergent, #3)",3.63,463257,62536,31626,78366,176061,192785,184388
9418327,Tina Fey,2011,Bossypants,3.94,506250,35142,14842,31761,129390,230080,203187
3473,Nicholas Sparks,1999,A Walk to Remember,4.15,546948,11071,10640,24094,94327,169650,260870
9416,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,11170,30705,56949,156636,166927,146787
24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14,513407,12505,15225,25914,87461,167385,264147
10572,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,20325,1788,7104,56167,221706,320000
10441,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,501430,18027,19453,47004,145437,183150,115538
15507958,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",4.27,587647,71412,10346,21880,91517,249474,367916
168668,Joseph Heller,1961,Catch-22,3.98,563265,13734,20639,37912,106269,186745,230950
6900,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06,556518,19272,11507,30534,107446,194448,240462
2187,Jeffrey Eugenides,2002,Middlesex,3.98,488243,20880,19329,30503,89740,171099,197327
24583,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89,555359,7165,12130,34349,143659,217896,186192
18131,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,19413,17313,34988,119115,209745,268933
7763,Amy Tan,1989,The Joy Luck Club,3.9,515090,6708,14802,30197,116748,195930,167566
38447,Margaret Atwood,1985,The Handmaid's Tale,4.06,607889,35925,13998,32561,116975,252942,267088
452306,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,6477,14996,42396,152024,177404,149784
7604,"Vladimir Nabokov, Craig Raine",1955,Lolita,3.88,469836,18107,21091,37205,108664,165477,185553
37442,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,22926,40802,65835,132061,153583,133217
5358,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",3.99,488269,3139,5075,20119,111543,190966,160652
7937843,Emma Donoghue,2010,Room,4.03,511360,42254,11020,26079,99831,217995,201402
1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,4,515820,8889,10413,32697,121040,192937,219807
234225,Frank Herbert,1965,Dune (Dune Chronicles #1),4.19,485032,13239,13354,22778,74206,154771,260867
2612,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,10895,15111,25871,106453,189120,162511
11084145,Walter Isaacson,2011,Steve Jobs,4.09,560715,15198,19680,21986,88456,203975,245159
332613,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,491642,7855,5672,15978,78714,191622,222472
2165,Ernest Hemingway,1952,The Old Man and the Sea,3.73,520630,16716,28645,52583,136217,186747,170136
4395,John Steinbeck,1939,The Grapes of Wrath,3.92,322321,12991,23552,40261,103475,173589,212475
3431,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,449501,16682,12360,33669,107800,155830,165040
8127,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,14041,8864,19531,80256,158725,265976
3777732,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",4.34,593173,22736,6646,17351,79202,179290,348071
62291,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,19497,1456,4820,36418,149268,335682
137791,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,3867,15795,35314,120396,158451,140552
10964,Diana Gabaldon,1991,"Outlander (Outlander, #1)",4.2,515547,36707,20998,27673,73126,147085,309960
12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,509883,11428,34813,80444,182701,165079,96209
9460487,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,53569,14920,45434,159227,234792,217849
6892870,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,26766,3823,14773,78387,203297,226511
18007564,Andy Weir,2012,The Martian,4.39,423344,61298,4114,10856,49200,173861,291671
5043,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,26283,9248,16886,57825,148052,263882
18143977,Anthony Doerr,2014,All the Light We Cannot See,4.31,470001,53413,6209,14527,61020,185239,280832
8664353,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,41572,10308,12874,47828,144203,313339
976,Dan Brown,2001,Deception Point,3.67,455610,7798,14380,45006,143182,160819,116346
17333223,Donna Tartt,2013,The Goldfinch,3.87,396756,44631,19164,35300,93459,153459,162465
1217100,Jay Asher,2007,Thirteen Reasons Why,4.02,463783,43467,15246,35668,105414,179197,235756
2865,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,467577,8011,11525,28287,123463,189656,139246
4374400,Gayle Forman,2009,"If I Stay (If I Stay, #1)",3.96,503527,34959,12666,34896,122977,190793,205755
4989,Anita Diamant,1997,The Red Tent,4.16,424981,17234,9470,19616,67878,146178,206075
28186,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,20097,2967,13884,91127,188988,253546
5526,Nicholas Sparks,2006,Dear John,4.01,441062,10626,9683,25220,94711,145202,179965
1582996,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,23643,6135,20075,92626,192934,274238
8852,William Shakespeare,1606,Macbeth,3.88,496018,7609,10551,35408,127354,183871,167642
15241,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,6980,3013,10264,55433,156232,307267
42156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,11567,16019,29297,104322,148507,137044
23772,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,4.29,457475,7370,6605,14530,66873,121751,251282
6310,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,8473,6236,17193,94240,178216,198862
2120932,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,14098,2435,8093,62108,172289,292783
2623,Charles Dickens,1860,Great Expectations,3.75,459247,12311,22811,44293,120385,170702,148996
18512,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,6644,2691,8008,42693,132149,324996
49552,"Albert Camus, Matthew    Ward",1942,The Stranger,3.96,420600,14836,10563,28920,100140,174957,169043
7736182,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,17107,5020,11267,58590,148498,266120
15745753,Rainbow Rowell,2013,Eleanor & Park,4.11,514312,53005,12904,26371,94470,196224,249784
13497,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,18876,3170,18574,94401,175973,189012
7735333,Ally Condie,2010,"Matched (Matched, #1)",3.68,511815,30226,24343,53804,138030,165412,149091
4407,Neil Gaiman,2001,"American Gods (American Gods, #1)",4.11,378019,27587,9888,24944,83253,178346,221912
149267,"Stephen King, Bernie Wrightson",1978,The Stand,4.34,438832,13808,5647,13612,56722,134098,259874
6400090,Nicholas Sparks,2008,The Last Song,4.14,424637,11051,7253,17803,77712,140241,195420
11125,Dan Brown,1998,Digital Fortress,3.6,423019,7538,16592,47507,136196,144029,103179
6969,"Jane Austen, Fiona Stafford",1815,Emma,3.99,459826,11724,11386,25777,102144,178238,180404
15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,4.02,297472,18064,11738,26945,88365,158179,187569
227463,Anthony Burgess,1962,A Clockwork Orange,3.98,431195,9958,14741,24244,84863,163488,167055
1812457,William Paul Young,2007,The Shack,3.74,419539,29377,35734,42977,84751,111923,162907
4502507,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,17693,2098,6501,45208,133168,312535
18342,Stephen King,1986,It,4.18,292592,11698,8464,19610,75841,148672,226794
7144,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,4.18,380903,12605,9477,20078,64050,137104,213966
6514,Sylvia Plath,1963,The Bell Jar,3.98,401605,15963,8266,23983,92408,162216,155284
252577,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,9798,7657,18327,73550,155775,164437
52036,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,3.99,372099,11518,10229,25529,83698,138837,160360
168642,Truman Capote,1965,In Cold Blood,4.05,381652,11754,10639,17836,70857,144616,157891
6304335,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,20808,19917,43525,113352,132492,149232
7171637,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,24385,8364,15544,61409,140928,289514
39988,"Roald Dahl, Quentin Blake",1988,Matilda,4.29,440743,11053,4277,10823,64536,152003,231852
9361589,Erin Morgenstern,2011,The Night Circus,4.03,429543,54008,11349,28650,84254,159596,190977
37470,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,15846,5311,16716,78620,153807,144769
24770,Scott Westerfeld,2005,"Uglies (Uglies, #1)",3.86,449073,21234,15531,34808,106086,151540,156624
10664113,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,365954,20072,2399,10150,53744,147136,211189
33,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,9365,4807,9577,37552,106818,277592
12262741,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,34444,8344,22137,85489,165482,139451
472331,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,4.35,398018,10851,6349,11732,44847,116877,229518
186074,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,28631,5605,8582,28480,95470,311235
3228917,Malcolm Gladwell,2008,Outliers: The Story of Success,4.11,353011,19383,4494,12545,62510,148978,140599
153747,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",3.46,358050,11223,35983,52601,103625,102432,103322
2728527,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,39853,7190,17250,68942,155107,175183
5759,Chuck Palahniuk,1996,Fight Club,4.2,365349,11176,4578,12632,58110,139554,173780
301082,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,16818,11330,25781,96290,148326,163097
11486,Alice Walker,1982,The Color Purple,4.17,376766,9485,6298,14477,62380,140835,176975
12691,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,13407,5485,14940,68532,131536,158855
16299,Agatha Christie,1939,And Then There Were None,4.23,408983,17264,6134,12476,66243,156306,215521
6411961,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,24199,11293,40545,120122,136545,96477
6339664,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",4,448166,21871,19338,33543,82544,120204,206173
11505797,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",4.15,418309,25298,17185,23298,61993,115123,225097
5326,Charles Dickens,1843,A Christmas Carol,4.02,394540,11568,6737,21415,93906,153823,165515
43763,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,7951,7519,22377,84804,137659,141582
10507293,Kiera Cass,2012,"The Selection (The Selection, #1)",4.15,505340,35681,13841,25349,83692,158716,257493
6853,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",4.03,391007,13050,9176,19657,80319,133454,160709
6493208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,4.04,377249,28624,10782,18237,70339,151226,153856
23807,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107,3866,10268,12845,55427,123652,163920
345627,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",4.14,248283,19720,12535,22043,73357,129382,217834
40102,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,3.89,348196,12215,6804,20128,85934,139947,107525
6867,Ian McEwan,2001,Atonement,3.88,347006,14815,11473,25462,77135,134788,116800
485894,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,3.78,364933,10252,15430,33226,98774,146297,120806
561456,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668,15418,1863,7934,65220,162371,248874
9969571,Ernest Cline,2011,Ready Player One,4.31,349423,52120,5150,12928,48285,134107,221349
3153910,Garth Stein,2006,The Art of Racing in the Rain,4.19,327409,32021,4808,13901,53780,118166,163664
21996,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385,25846,6687,18709,69012,135360,120839
13572249,Sylvia Day,2012,"Bared to You (Crossfire, #1)",4.19,222678,16748,9867,18983,55554,104657,197075
11127,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385,8871,3772,12192,59975,133056,192681
3609760,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,4.23,291411,532,6862,11019,48008,67939,158071
60748,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)",4.08,311543,13729,7819,16453,57341,98786,140899
7869,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)",3.98,327122,3899,10266,17695,65161,118463,124627
249747,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923,8384,14473,30894,94950,129607,129241
6487308,Lauren Kate,2009,"Fallen (Fallen, #1)",3.74,395296,17725,23594,41578,94145,107149,141642
4406,John Steinbeck,1952,East of Eden,4.35,320919,14454,4183,9409,39153,96741,187196
5886881,Gillian Flynn,2009,Dark Places,3.92,333452,28784,5169,17975,89242,165108,109113
5359,John Grisham,1993,The Client,3.97,320083,1917,2530,12566,79176,129019,102372
228333,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)",3.4,323762,5121,17006,43014,116021,95951,56081
24213,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,340920,7736,5294,17482,76985,127906,149523
2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,4.13,365425,13117,6688,15653,71218,133222,175578
556602,Tatiana de Rosnay,2007,Sarah's Key,4.14,312444,26614,3865,12684,55760,134748,140574
43615,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)",3.99,332494,13014,9958,24111,72736,112895,146677
9712,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera,3.89,283806,15246,11450,23825,65668,110544,111974
439288,Laurie Halse Anderson,1999,Speak,4,360156,18379,7770,21049,76503,125660,141422
